fpr,tpr
0.0,0.0
0.0,0.00016553550736633007
0.0,0.0009932130441979805
0.00016526194017517766,0.0009932130441979805
0.00016526194017517766,0.0016553550736633008
0.0003305238803503553,0.0016553550736633008
0.0003305238803503553,0.007945704353583844
0.0004957858205255329,0.007945704353583844
0.0004957858205255329,0.009932130441979804
0.0006610477607007106,0.009932130441979804
0.0006610477607007106,0.014236053633504386
0.0008263097008758883,0.014236053633504386
0.0008263097008758883,0.015394802185068697
0.0009915716410510659,0.015394802185068697
0.0009915716410510659,0.01887104783976163
0.0011568335812262437,0.01887104783976163
0.0011568335812262437,0.01920211885449429
0.0013220955214014213,0.01920211885449429
0.0013220955214014213,0.02002979639132594
0.001487357461576599,0.02002979639132594
0.001487357461576599,0.02019533189869227
0.0016526194017517765,0.02019533189869227
0.0016526194017517765,0.02151961595762291
0.0019831432821021317,0.02151961595762291
0.0019831432821021317,0.025161397119682172
0.0021484052222773093,0.025161397119682172
0.0021484052222773093,0.02565800364178116
0.0023136671624524874,0.02565800364178116
0.0023136671624524874,0.029796391325939413
0.002478929102627665,0.029796391325939413
0.002478929102627665,0.030292997848038405
0.0026441910428028426,0.030292997848038405
0.0026441910428028426,0.031782817414335376
0.00280945298297802,0.031782817414335376
0.00280945298297802,0.03774209567952326
0.002974714923153198,0.03774209567952326
0.002974714923153198,0.03923191524582023
0.0031399768633283754,0.03923191524582023
0.0031399768633283754,0.04353583843734481
0.0034705007436787306,0.04353583843734481
0.0034705007436787306,0.04419798046681013
0.0036357626838539082,0.04419798046681013
0.0036357626838539082,0.044860122496275454
0.0039662865642042635,0.044860122496275454
0.0039662865642042635,0.04552226452574077
0.0041315485043794415,0.04552226452574077
0.0041315485043794415,0.047508690614136734
0.004296810444554619,0.047508690614136734
0.004296810444554619,0.05065386525409701
0.004462072384729797,0.05065386525409701
0.004462072384729797,0.05131600728356232
0.004627334324904975,0.05131600728356232
0.004627334324904975,0.051481542790928654
0.004792596265080152,0.051481542790928654
0.004792596265080152,0.051647078298294985
0.005288382085605685,0.051647078298294985
0.005288382085605685,0.05247475583512663
0.005453644025780862,0.05247475583512663
0.005453644025780862,0.052805826849859294
0.00561890596595604,0.052805826849859294
0.00561890596595604,0.052971362357225625
0.005784167906131218,0.052971362357225625
0.005784167906131218,0.055454394967720574
0.005949429846306396,0.055454394967720574
0.005949429846306396,0.058102963085581855
0.006114691786481574,0.058102963085581855
0.006114691786481574,0.0610826022181758
0.006279953726656751,0.0610826022181758
0.006279953726656751,0.06356563482867075
0.006445215666831929,0.06356563482867075
0.006445215666831929,0.06720741599073002
0.006610477607007106,0.06720741599073002
0.006610477607007106,0.06786955802019533
0.006775739547182284,0.06786955802019533
0.006775739547182284,0.06886277106439331
0.006941001487357461,0.06886277106439331
0.006941001487357461,0.06952491309385864
0.007106263427532639,0.06952491309385864
0.007106263427532639,0.07200794570435358
0.0072715253677078165,0.07200794570435358
0.0072715253677078165,0.07415990730011587
0.0074367873078829945,0.07415990730011587
0.0074367873078829945,0.07614633338851183
0.007602049248058173,0.07614633338851183
0.007602049248058173,0.0776361529548088
0.00776731118823335,0.0776361529548088
0.00776731118823335,0.0814434696242344
0.007932573128408527,0.0814434696242344
0.007932573128408527,0.08243668266843238
0.008097835068583706,0.08243668266843238
0.008097835068583706,0.08276775368316504
0.008263097008758883,0.08276775368316504
0.008263097008758883,0.08326436020526402
0.00842835894893406,0.08326436020526402
0.00842835894893406,0.08376096672736302
0.008593620889109237,0.08376096672736302
0.008593620889109237,0.08574739281575898
0.008758882829284416,0.08574739281575898
0.008758882829284416,0.08657507035259063
0.008924144769459593,0.08657507035259063
0.008924144769459593,0.08889256745571925
0.00908940670963477,0.08889256745571925
0.00908940670963477,0.09071345803674888
0.00925466864980995,0.09071345803674888
0.00925466864980995,0.09187220658831319
0.009419930589985127,0.09187220658831319
0.009419930589985127,0.09220327760304585
0.009585192530160304,0.09220327760304585
0.009585192530160304,0.09418970369144182
0.009750454470335481,0.09418970369144182
0.009750454470335481,0.09518291673563979
0.00991571641051066,0.09518291673563979
0.00991571641051066,0.09981791094189704
0.010080978350685837,0.09981791094189704
0.010080978350685837,0.10528058268498593
0.010246240290861014,0.10528058268498593
0.010246240290861014,0.10594272471445125
0.010411502231036193,0.10594272471445125
0.010411502231036193,0.1072670087733819
0.010742026111386548,0.1072670087733819
0.010742026111386548,0.1079291508028472
0.010907288051561725,0.1079291508028472
0.010907288051561725,0.10809468631021354
0.011072549991736904,0.10809468631021354
0.011072549991736904,0.10875682833967885
0.01123781193191208,0.10875682833967885
0.01123781193191208,0.11256414500910446
0.011403073872087258,0.11256414500910446
0.011403073872087258,0.11272968051647078
0.011568335812262435,0.11272968051647078
0.011568335812262435,0.11421950008276775
0.011733597752437614,0.11421950008276775
0.011733597752437614,0.1155437841416984
0.011898859692612791,0.1155437841416984
0.011898859692612791,0.11570931964906472
0.012064121632787968,0.11570931964906472
0.012064121632787968,0.11968217182585665
0.012229383572963147,0.11968217182585665
0.012229383572963147,0.11984770733322297
0.012394645513138325,0.11984770733322297
0.012394645513138325,0.12481377255421287
0.012725169393488679,0.12481377255421287
0.012725169393488679,0.12497930806157921
0.012890431333663858,0.12497930806157921
0.012890431333663858,0.12564145009104452
0.013055693273839035,0.12564145009104452
0.013055693273839035,0.12630359212050984
0.013220955214014212,0.12630359212050984
0.013220955214014212,0.12680019864260883
0.013386217154189391,0.12680019864260883
0.013386217154189391,0.12746234067207415
0.013551479094364568,0.12746234067207415
0.013551479094364568,0.1292832312531038
