fpr,tpr
0.0,0.0
0.0,0.00016553550736633007
0.0,0.0038073166694255916
0.00016526194017517766,0.0038073166694255916
0.00016526194017517766,0.01820890581029631
0.0003305238803503553,0.01820890581029631
0.0003305238803503553,0.01887104783976163
0.0004957858205255329,0.01887104783976163
0.0004957858205255329,0.02102300943552392
0.0006610477607007106,0.02102300943552392
0.0006610477607007106,0.02565800364178116
0.0008263097008758883,0.02565800364178116
0.0008263097008758883,0.028968713789107765
0.0009915716410510659,0.028968713789107765
0.0009915716410510659,0.031451746399602715
0.0011568335812262437,0.031451746399602715
0.0011568335812262437,0.03244495944380069
0.0013220955214014213,0.03244495944380069
0.0013220955214014213,0.034265850024830326
0.001487357461576599,0.034265850024830326
0.001487357461576599,0.0357556695911273
0.0016526194017517765,0.0357556695911273
0.0016526194017517765,0.038073166694255915
0.0018178813419269541,0.038073166694255915
0.0018178813419269541,0.04386690945207747
0.0019831432821021317,0.04386690945207747
0.0019831432821021317,0.04519119351100811
0.0021484052222773093,0.04519119351100811
0.0021484052222773093,0.04850190365833471
0.0023136671624524874,0.04850190365833471
0.0023136671624524874,0.05081940076146333
0.002478929102627665,0.05081940076146333
0.002478929102627665,0.05330243337195829
0.0026441910428028426,0.05330243337195829
0.0026441910428028426,0.056613143519284884
0.00280945298297802,0.056613143519284884
0.00280945298297802,0.05744082105611654
0.002974714923153198,0.05744082105611654
0.002974714923153198,0.06008938917397782
0.0031399768633283754,0.06008938917397782
0.0031399768633283754,0.07680847541797715
0.003305238803503553,0.07680847541797715
0.003305238803503553,0.07747061744744248
0.0034705007436787306,0.07747061744744248
0.0034705007436787306,0.08194007614633339
0.0036357626838539082,0.08194007614633339
0.0036357626838539082,0.08260221817579871
0.0038010246240290863,0.08260221817579871
0.0038010246240290863,0.0864095348452243
0.0039662865642042635,0.0864095348452243
0.0039662865642042635,0.09203774209567953
0.0041315485043794415,0.09203774209567953
0.0041315485043794415,0.09601059427247144
0.004296810444554619,0.09601059427247144
0.004296810444554619,0.0968382718093031
0.004462072384729797,0.0968382718093031
0.004462072384729797,0.09783148485350107
0.004627334324904975,0.09783148485350107
0.004627334324904975,0.09865916239033273
