fpr,tpr
0.0,0.0
0.0,0.00010019036168720569
0.0,0.0025047590421801423
0.0,0.002705139765554554
0.0,0.003005710850616171
0.0,0.003206091573990582
0.0,0.0050095180843602845
0.0,0.005209898807734696
0.0,0.006111612062919547
0.0,0.0063119927862939585
0.0,0.009017132551848512
0.0,0.009217513275222924
0.0,0.010419797615469392
0.0,0.010620178338843803
0.0,0.01182246267909027
0.0,0.012223224125839094
0.0,0.013124937381023945
0.0,0.013325318104398357
0.0,0.014026650636208797
0.0,0.014427412082957619
0.0,0.015329125338142471
0.0,0.015529506061516882
0.0,0.0158300771465785
0.0,0.01603045786995291
0.0,0.016130648231640118
0.0,0.016331028955014527
0.0,0.01653140967838894
0.0,0.01673179040176335
0.0,0.017533313295260994
0.0,0.017733694018635407
0.0,0.01783388438032261
0.0,0.018034265103697024
0.0,0.018935978358881875
0.0,0.019136359082256287
0.0,0.020539024145877167
0.0,0.020739404869251576
0.0,0.021340547039374814
0.0,0.021540927762749223
0.0,0.02164111812443643
0.0,0.02184149884781084
0.0,0.022041879571185252
0.0,0.022242260294559665
0.0,0.02324416391143172
0.0,0.02364492535818054
0.0,0.024446448251678188
0.0,0.0246468289750526
0.0,0.026450255485422302
0.0,0.026650636208796714
0.0,0.02675082657048392
0.0,0.02695120729385833
0.0,0.02765253982566877
0.0,0.027852920549043182
0.0,0.028053301272417595
0.0,0.028253681995792004
0.0,0.02835387235747921
0.0,0.02855425308085362
0.0,0.02865444344254083
0.0,0.028854824165915238
0.0,0.02905520488928965
0.0,0.029255585612664062
0.0,0.02955615669772568
0.0,0.029756537421100092
0.0,0.0299569181444745
0.0,0.030257489229536118
0.0,0.03095882176134656
0.0,0.03115920248472097
0.0,0.03125939284640818
0.0,0.031660154293157
0.0,0.03186053501653141
0.0,0.03206091573990582
0.0,0.03216110610159303
0.0,0.032361486824967436
0.0,0.03256186754834185
0.0,0.03296262899509067
0.0,0.03306281935677788
0.0,0.03326320008015229
0.0,0.03486624586714758
0.0,0.03506662659052199
0.0,0.03566776876064522
0.0,0.03596833984570684
0.0,0.036168720569081256
0.0,0.03666967237751728
0.0,0.0368700531008917
0.0,0.03777176635607655
0.0,0.03797214707945096
0.0,0.038974050696323016
0.0,0.039374812143071834
0.0,0.03987576395150787
0.0,0.040276525398256685
0.0,0.04097785793006713
